Date,BITF_Close_Prices
10/13/2021,5.03
10/14/2021,5
10/15/2021,5.38
10/18/2021,5.6
10/19/2021,5.68
10/20/2021,5.81
10/21/2021,5.48
10/22/2021,5.25
10/25/2021,5.39
10/26/2021,5.21
10/27/2021,4.87
10/28/2021,5.29
10/29/2021,5.12
11/1/2021,5.57
11/2/2021,6.41
11/3/2021,6.85
11/4/2021,7.2
11/5/2021,7.28
11/8/2021,8.15
11/9/2021,8.87
11/10/2021,7.9
11/11/2021,8.08
11/12/2021,8.58
11/15/2021,8.61
11/16/2021,8.43
11/17/2021,8.56
11/18/2021,7.77
11/19/2021,8.18
11/22/2021,7.44
11/23/2021,8.04
11/24/2021,7.85
11/26/2021,7.14
11/29/2021,7.86
11/30/2021,7.65
12/1/2021,7.6
12/2/2021,7.2
12/3/2021,6.25
12/6/2021,6.05
12/7/2021,6.34
12/8/2021,6.43
12/9/2021,5.81
12/10/2021,5.58
12/13/2021,5.06
12/14/2021,4.96
12/15/2021,5.21
12/16/2021,4.9
12/17/2021,4.73
12/20/2021,4.55
12/21/2021,4.9
12/22/2021,5.1
12/23/2021,5.8
12/27/2021,5.96
12/28/2021,5.21
12/29/2021,5.09
12/30/2021,5.12
12/31/2021,5.05
1/3/2022,5.05
1/4/2022,5.22
1/5/2022,4.68
1/6/2022,4.53
1/7/2022,4.29
1/10/2022,4.31
1/11/2022,4.71
1/12/2022,4.94
1/13/2022,4.48
1/14/2022,4.56
1/18/2022,4.19
1/19/2022,4.07
1/20/2022,4.16
1/21/2022,3.58
1/24/2022,3.5
1/25/2022,3.5
1/26/2022,3.49
1/27/2022,3.1
1/28/2022,3.35
1/31/2022,3.66
2/1/2022,3.9
2/2/2022,3.64
2/3/2022,3.4
2/4/2022,3.81
2/7/2022,4.15
2/8/2022,4.27
2/9/2022,4.4
2/10/2022,4.28
2/11/2022,3.9
2/14/2022,3.86
2/15/2022,4.1
2/16/2022,4.14
2/17/2022,3.63
2/18/2022,3.45
2/22/2022,3.18
2/23/2022,3.06
2/24/2022,3.39
2/25/2022,3.29
2/28/2022,3.77
3/1/2022,4.03
3/2/2022,4.06
3/3/2022,3.74
3/4/2022,3.44
