Date,Close
13-Jan-2015,76.45
14-Jan-2015,76.28
15-Jan-2015,74.05
16-Jan-2015,75.18
20-Jan-2015,76.24
21-Jan-2015,76.74
22-Jan-2015,77.65
23-Jan-2015,77.83
26-Jan-2015,77.5
27-Jan-2015,75.78
28-Jan-2015,76.24
29-Jan-2015,78
30-Jan-2015,75.91
2-Feb-2015,74.99
3-Feb-2015,75.4
4-Feb-2015,75.63
5-Feb-2015,75.61
6-Feb-2015,74.47
9-Feb-2015,74.44
10-Feb-2015,75.19
11-Feb-2015,76.51
12-Feb-2015,76.23
13-Feb-2015,75.74
17-Feb-2015,75.6
18-Feb-2015,76.71
19-Feb-2015,79.42
20-Feb-2015,79.9
23-Feb-2015,78.84
24-Feb-2015,78.45
25-Feb-2015,79.56
26-Feb-2015,80.41
27-Feb-2015,78.97
2-Mar-2015,79.75
3-Mar-2015,79.6
4-Mar-2015,80.9
5-Mar-2015,81.21
6-Mar-2015,80.01
9-Mar-2015,79.44
10-Mar-2015,77.55
11-Mar-2015,77.57
12-Mar-2015,78.93
13-Mar-2015,78.05
16-Mar-2015,78.07
17-Mar-2015,79.36
18-Mar-2015,80.91
19-Mar-2015,82.75
20-Mar-2015,83.8
23-Mar-2015,84.43
24-Mar-2015,85.31
25-Mar-2015,82.92
26-Mar-2015,83.01
27-Mar-2015,83.3
30-Mar-2015,83.2
31-Mar-2015,82.22
1-Apr-2015,81.67
2-Apr-2015,81.56
6-Apr-2015,82.44
7-Apr-2015,82.32
8-Apr-2015,82.28
9-Apr-2015,82.17
10-Apr-2015,82.04
13-Apr-2015,83.01
14-Apr-2015,83.52
15-Apr-2015,82.71
16-Apr-2015,82.31
17-Apr-2015,80.78
20-Apr-2015,83.09
21-Apr-2015,83.62
22-Apr-2015,84.63
23-Apr-2015,82.41
24-Apr-2015,81.53
27-Apr-2015,81.91
28-Apr-2015,80.68
29-Apr-2015,80.47
30-Apr-2015,78.77
1-May-2015,78.99
4-May-2015,78.81
5-May-2015,77.56
6-May-2015,78.1
