Date,Close
10/13,44.65
10/14,44.91
10/15,47.41
10/18,45.65
10/19,48.82
10/20,51.75
10/21,48.97
10/22,48.75
10/25,50.89
10/26,49.43
10/27,46.7
10/28,48.69
10/29,49.69
11/1,49.24
11/2,50.46
11/3,50.12
11/4,48.87
11/5,48.57
11/8,52.3
11/9,53.49
11/10,53.42
11/11,52.19
11/12,51.47
11/15,51.18
11/16,47.07
11/17,48.38
11/18,46.48
11/19,47.14
11/22,45.15
11/23,46.88
11/24,46.42
11/26,44.33
11/29,47.18
11/30,46.22
12/1,44.87
12/2,45.39
12/3,41.85
12/6,38.4
12/7,40.1
12/8,40.33
12/9,37.1
12/10,37.28
12/13,35.41
12/14,36.7
12/15,37.66
12/16,36.31
12/17,34.42
12/20,34.47
12/21,36.53
12/22,37
12/23,39.14
12/27,39.29
12/28,36.33
12/29,35.36
12/30,35.39
12/31,34.25
1/3,34.27
1/4,34.66
1/5,32.49
1/6,31.94
1/7,30.74
1/10,30.17
1/11,31.15
1/12,31.95
1/13,30.5
1/14,30.53
1/18,28.57
1/19,28.02
1/20,29.02
1/21,25.59
1/24,25.9
1/25,25.43
1/26,25.44
1/27,24.11
1/28,25.74
1/31,26.24
2/1,26.27
2/2,25.55
2/3,24.63
2/4,27.96
2/7,30.57
2/8,31.35
2/9,32.08
2/10,31
2/11,29.61
2/14,29.45
2/15,31.29
2/16,31.12
2/17,28.34
2/18,27.3
2/22,25.93
2/23,25.63
2/24,26.59
2/25,27.18
2/28,29.39
3/1,30.75
3/2,30.18
3/3,28.11
3/4,26.13
