Date,Close
13-Jan-2015,40.85
14-Jan-2015,38.54
15-Jan-2015,38.37
16-Jan-2015,38.61
20-Jan-2015,38.39
21-Jan-2015,39.31
22-Jan-2015,40.32
23-Jan-2015,40.26
26-Jan-2015,41.31
27-Jan-2015,41.2
28-Jan-2015,39.87
29-Jan-2015,41.04
30-Jan-2015,40.72
2-Feb-2015,42.19
3-Feb-2015,43.67
4-Feb-2015,43.71
5-Feb-2015,44.2
6-Feb-2015,43.47
9-Feb-2015,43.5
10-Feb-2015,43.26
11-Feb-2015,42.56
12-Feb-2015,40.58
13-Feb-2015,40.75
17-Feb-2015,40.87
18-Feb-2015,40.89
19-Feb-2015,42.34
20-Feb-2015,43.42
23-Feb-2015,41.47
24-Feb-2015,40.82
25-Feb-2015,40.75
26-Feb-2015,41.44
27-Feb-2015,40.67
2-Mar-2015,39.47
3-Mar-2015,39.91
4-Mar-2015,40.49
5-Mar-2015,40.13
6-Mar-2015,38.78
9-Mar-2015,38.18
10-Mar-2015,38.06
11-Mar-2015,38.75
12-Mar-2015,38.21
13-Mar-2015,37.74
16-Mar-2015,39.14
17-Mar-2015,38.95
18-Mar-2015,40.14
19-Mar-2015,39.13
20-Mar-2015,39.62
23-Mar-2015,39.93
24-Mar-2015,40.34
25-Mar-2015,38.86
26-Mar-2015,38.08
27-Mar-2015,37
30-Mar-2015,38.11
31-Mar-2015,37.75
1-Apr-2015,37.52
2-Apr-2015,38.2
6-Apr-2015,40.62
7-Apr-2015,40.65
8-Apr-2015,41.53
9-Apr-2015,42.02
10-Apr-2015,42.18
13-Apr-2015,41.96
14-Apr-2015,41.49
15-Apr-2015,41.57
16-Apr-2015,41.34
17-Apr-2015,41.36
20-Apr-2015,41.05
21-Apr-2015,41.88
22-Apr-2015,43.89
23-Apr-2015,43.72
24-Apr-2015,43.69
27-Apr-2015,46.31
28-Apr-2015,46.1
29-Apr-2015,46.49
30-Apr-2015,45.21
1-May-2015,45.21
4-May-2015,46.1
5-May-2015,46.59
6-May-2015,46.09
7-May-2015,47.36
8-May-2015,47.32
11-May-2015,47.9
12-May-2015,48.95
13-May-2015,48.64
14-May-2015,48.82
15-May-2015,49.77
18-May-2015,49.75
19-May-2015,49.43
20-May-2015,48.87
21-May-2015,49.12
22-May-2015,49.55
26-May-2015,49.49
27-May-2015,49.49
28-May-2015,50.29
29-May-2015,50.16
1-Jun-2015,49.89
2-Jun-2015,49.67
3-Jun-2015,49.8
4-Jun-2015,49.18
5-Jun-2015,49.83
8-Jun-2015,51.26
9-Jun-2015,51.2
10-Jun-2015,50.14
11-Jun-2015,50.28
12-Jun-2015,50.14
15-Jun-2015,50.08
16-Jun-2015,50.62
17-Jun-2015,52.08
18-Jun-2015,52.38
19-Jun-2015,52.5
22-Jun-2015,51.96
23-Jun-2015,53.53
24-Jun-2015,53.03
25-Jun-2015,53.76
26-Jun-2015,53.42
29-Jun-2015,52.4
30-Jun-2015,53.65
1-Jul-2015,53.83
2-Jul-2015,56
6-Jul-2015,55.94
7-Jul-2015,53.58
8-Jul-2015,50.99
9-Jul-2015,51.58
10-Jul-2015,51.83
13-Jul-2015,52.43
14-Jul-2015,53.13
15-Jul-2015,52.63
16-Jul-2015,53.34
17-Jul-2015,54.93
20-Jul-2015,56.45
21-Jul-2015,53.35
22-Jul-2015,53.57
23-Jul-2015,53.44
24-Jul-2015,53.08
27-Jul-2015,50.6
28-Jul-2015,52.96
29-Jul-2015,52.76
30-Jul-2015,53.36
31-Jul-2015,53.23
3-Aug-2015,52
4-Aug-2015,53.26
5-Aug-2015,54.03
6-Aug-2015,49.23
7-Aug-2015,48.5
10-Aug-2015,48.23
11-Aug-2015,47.47
12-Aug-2015,47.63
13-Aug-2015,48.5
14-Aug-2015,48.63
17-Aug-2015,51
18-Aug-2015,52.14
19-Aug-2015,51.05
20-Aug-2015,48.44
